keyword,mean_tfidf
book,0.036204418592984504
film,0.025160160620298133
game,0.018931884658276256
story,0.017771875330510258
life,0.014929728613864015
world,0.014578913688629293
movie,0.012934265253982294
read,0.012646666651138226
work,0.012583965916432046
music,0.01250754617925967
war,0.012448634049781753
characters,0.011784943237533468
author,0.011560444127127758
album,0.011066327448968313
man,0.010381889161720257
song,0.010015547756814326
novel,0.009990690740102672
character,0.009699364899861725
sound,0.00957980784398812
end,0.00938633447842359
series,0.009368776399236332
books,0.009252429447020559
point,0.009220710938388523
set,0.009151847080975876
chapter,0.008682459019929178
power,0.008597480179782603
high,0.008306167970262507
family,0.008271723619858591
video,0.008136141461412305
human,0.007877760034803644
american,0.007752962061444158
history,0.007699422365109912
quality,0.0076802011702870885
screen,0.007576944109861166
camera,0.00756377814397231
phone,0.007520934338858935
play,0.007507520923860339
case,0.007434006876143635
times,0.007428132123327764
page,0.007414349643957735
reading,0.007356627735149948
small,0.007345074627567706
version,0.007319285711886405
god,0.007296422509420519
john,0.007241638368415487
feel,0.007239825642887977
science,0.007232323152705611
home,0.007227947391840799
course,0.007222178481065406
men,0.0071537084658404295
